Flightline,Frame_ID,Latitude,Longitude,Height ASL_meters,Azimuth_degrees,Nominal_scale,Exposure_date,Download,metadata_link,source_link
48-003,587,18.3043517,-65.274322,.,91,48,2/26/1999 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi/images/587.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi&id=587,https://products.coastalscience.noaa.gov/aerialviewer/
48-003,588,18.3036667,-65.234068,.,91.3,48,2/26/1999 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi/images/588.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi&id=588,https://products.coastalscience.noaa.gov/aerialviewer/
48-003,589,18.3028933,-65.19796,.,95,48,2/26/1999 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi/images/589.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi&id=589,https://products.coastalscience.noaa.gov/aerialviewer/
48-003,590,18.300425,-65.168233,.,90.7,48,2/26/1999 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi/images/590.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi&id=590,https://products.coastalscience.noaa.gov/aerialviewer/
48-003,591,18.29983,-65.11727,.,90.7,48,2/26/1999 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi/images/591.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi&id=591,https://products.coastalscience.noaa.gov/aerialviewer/
48-003,607,18.2951367,-65.299578,.,87.4,48,3/1/1999 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi/images/607.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi&id=607,https://products.coastalscience.noaa.gov/aerialviewer/
48-003,608,18.2965767,-65.265535,.,88.7,48,3/1/1999 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi/images/608.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi&id=608,https://products.coastalscience.noaa.gov/aerialviewer/
48-003,609,18.2974583,-65.224742,.,92.2,48,3/1/1999 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi/images/609.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi&id=609,https://products.coastalscience.noaa.gov/aerialviewer/
48-003,610,18.29627,-65.19276,.,96.6,48,3/1/1999 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi/images/610.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi&id=610,https://products.coastalscience.noaa.gov/aerialviewer/
48-003,611,18.293125,-65.164065,.,91.1,48,3/1/1999 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi/images/611.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi&id=611,https://products.coastalscience.noaa.gov/aerialviewer/
48-003,612,18.2921133,-65.106543,.,93.7,48,3/1/1999 0:00,http://coastalscience.noaa.gov/datasets/aerialphotodb/usvi/images/612.jpg,https://products.coastalscience.noaa.gov/aerialviewer/viewer.aspx?source=usvi&id=612,https://products.coastalscience.noaa.gov/aerialviewer/
